Rank,ID,Name,Interactant count,Score
1356,10564,ARFGEF2,54,6.05E-05
1357,6257,RXRB,59,6.05E-05
1358,3240,HP,34,6.05E-05
1359,4331,MNAT1,67,6.04E-05
1360,79723,SUV39H2,64,6.04E-05
1361,140545,RNF32,42,6.04E-05
1362,63931,MRPS14,67,6.04E-05
1363,3039,HBA1,34,6.03E-05
1364,84129,ACAD11,52,6.03E-05
1365,149371,EXOC8,58,6.03E-05
1366,4189,DNAJB9,46,6.03E-05
1367,54504,CPVL,60,6.02E-05
1368,55824,PAG1,46,6.02E-05
1369,653519,GPR89A,36,6.02E-05
1370,80145,THOC7,61,6.01E-05
1371,54849,DEF8,31,6.01E-05
1372,22980,TCF25,36,6.00E-05
1373,4091,SMAD6,53,6.00E-05
1374,6150,MRPL23,73,6.00E-05
1375,7804,LRP8,47,6.00E-05
1376,4915,NTRK2,45,5.99E-05
1377,1244,ABCC2,49,5.99E-05
1378,131601,TPRA1,27,5.98E-05
1379,55770,EXOC2,54,5.97E-05
1380,51701,NLK,58,5.97E-05
1381,2512,FTL,55,5.96E-05
1382,8548,BLZF1,63,5.96E-05
1383,54882,ANKHD1,55,5.96E-05
1384,762,CA4,7,5.95E-05
1385,6385,SDC4,30,5.95E-05
1386,833,CARS1,63,5.94E-05
1387,5033,P4HA1,54,5.94E-05
1388,1674,DES,52,5.93E-05
1389,10466,COG5,34,5.93E-05
1390,27336,HTATSF1,65,5.93E-05
1391,6301,SARS1,62,5.92E-05
1392,2101,ESRRA,39,5.92E-05
1393,340061,TMEM173,50,5.92E-05
1394,489,ATP2A3,52,5.91E-05
1395,84263,HSDL2,42,5.90E-05
1396,372,ARCN1,56,5.90E-05
1397,79058,ASPSCR1,55,5.90E-05
1398,81892,SLIRP,59,5.90E-05
1399,1788,DNMT3A,59,5.89E-05
1400,29882,ANAPC2,55,5.89E-05
1401,1663,DDX11,31,5.88E-05
1402,3835,KIF22,62,5.88E-05
1403,23588,KLHDC2,50,5.87E-05
1404,9781,RNF144A,63,5.87E-05
1405,56850,GRIPAP1,56,5.86E-05
1406,8932,MBD2,58,5.86E-05
1407,23064,SETX,53,5.86E-05
1408,7812,CSDE1,62,5.86E-05
1409,23162,MAPK8IP3,42,5.85E-05
1410,5001,ORC5,50,5.84E-05
1411,51015,ISOC1,50,5.84E-05
1412,23224,SYNE2,51,5.83E-05
1413,56110,PCDHGA5,51,5.83E-05
1414,8888,MCM3AP,55,5.83E-05
1415,54583,EGLN1,42,5.83E-05
1416,27250,PDCD4,57,5.83E-05
1417,4192,MDK,58,5.81E-05
1418,10420,TESK2,70,5.81E-05
1419,8764,TNFRSF14,36,5.81E-05
1420,22858,ICK,44,5.80E-05
1421,57128,LYRM4,23,5.80E-05
1422,26589,MRPL46,64,5.79E-05
1423,201595,STT3B,47,5.79E-05
1424,11252,PACSIN2,55,5.78E-05
1425,3991,LIPE,13,5.78E-05
1426,23552,CDK20,49,5.78E-05
1427,2661,GDF9,56,5.78E-05
1428,3420,IDH3B,48,5.77E-05
1429,54536,EXOC6,46,5.77E-05
1430,23558,WBP2,55,5.76E-05
1431,23635,SSBP2,35,5.76E-05
1432,64983,MRPL32,62,5.75E-05
1433,835,CASP2,46,5.75E-05
1434,161198,CLEC14A,54,5.74E-05
1435,2202,EFEMP1,58,5.74E-05
1436,56902,PNO1,67,5.74E-05
1437,9529,BAG5,57,5.74E-05
1438,7298,TYMS,55,5.73E-05
1439,11120,BTN2A1,36,5.72E-05
1440,9372,ZFYVE9,50,5.72E-05
1441,55605,KIF21A,57,5.72E-05
1442,55466,DNAJA4,51,5.71E-05
1443,84231,TRAF7,51,5.71E-05
1444,6558,SLC12A2,40,5.71E-05
1445,8851,CDK5R1,48,5.70E-05
1446,11180,WDR6,53,5.67E-05
1447,9818,NUP58,47,5.67E-05
1448,79065,ATG9A,51,5.67E-05
1449,57647,DHX37,88,5.67E-05
1450,22818,COPZ1,49,5.67E-05
1451,547,KIF1A,50,5.66E-05
1452,54438,GFOD1,42,5.65E-05
1453,5698,PSMB9,71,5.65E-05
1454,63978,PRDM14,46,5.65E-05
1455,4741,NEFM,48,5.65E-05
1456,5099,PCDH7,43,5.65E-05
1457,144811,LACC1,37,5.64E-05
1458,8732,RNGTT,60,5.63E-05
1459,284161,GDPD1,28,5.63E-05
1460,6596,HLTF,61,5.63E-05
1461,4924,NUCB1,43,5.63E-05
1462,4163,MCC,54,5.63E-05
1463,10038,PARP2,60,5.63E-05
1464,7486,WRN,55,5.63E-05
1465,80764,THAP7,62,5.63E-05
1466,640,BLK,58,5.62E-05
1467,4860,PNP,42,5.61E-05
1468,1105,CHD1,59,5.61E-05
1469,649,BMP1,50,5.61E-05
1470,55622,TTC27,55,5.60E-05
1471,5275,SERPINB13,32,5.60E-05
1472,8891,EIF2B3,62,5.60E-05
1473,10818,FRS2,41,5.60E-05
1474,8674,VAMP4,49,5.60E-05
1475,64377,CHST8,33,5.60E-05
1476,83548,COG3,55,5.59E-05
1477,55233,MOB1A,56,5.59E-05
1478,63898,SH2D4A,58,5.59E-05
1479,1291,COL6A1,30,5.59E-05
1480,85413,SLC22A16,30,5.58E-05
1481,10673,TNFSF13B,50,5.58E-05
1482,10206,TRIM13,34,5.58E-05
1483,22,ABCB7,44,5.57E-05
1484,54910,SEMA4C,36,5.57E-05
1485,10746,MAP3K2,40,5.56E-05
1486,7259,TSPYL1,44,5.55E-05
1487,54926,UBE2R2,45,5.55E-05
1488,2303,FOXC2,34,5.54E-05
1489,80218,NAA50,45,5.54E-05
1490,5467,PPARD,54,5.53E-05
1491,83461,CDCA3,44,5.53E-05
1492,1613,DAPK3,51,5.53E-05
1493,1388,ATF6B,36,5.53E-05
1494,51517,NCKIPSD,56,5.53E-05
1495,28973,MRPS18B,63,5.52E-05
1496,7855,FZD5,16,5.52E-05
1497,23597,ACOT9,49,5.52E-05
1498,26024,PTCD1,43,5.51E-05
1499,11137,PWP1,68,5.51E-05
1500,4190,MDH1,48,5.51E-05
1501,6855,SYP,51,5.51E-05
1502,9054,NFS1,39,5.51E-05
1503,81029,WNT5B,4,5.50E-05
1504,5000,ORC4,53,5.50E-05
1505,84333,PCGF5,55,5.50E-05
1506,79866,BORA,26,5.50E-05
1507,10393,ANAPC10,44,5.50E-05
1508,9739,SETD1A,52,5.49E-05
1509,79187,FSD1,55,5.49E-05
1510,2548,GAA,50,5.48E-05
1511,57761,TRIB3,41,5.48E-05
1512,54850,FBXL12,43,5.48E-05
1513,2355,FOSL2,60,5.48E-05
1514,79796,ALG9,36,5.47E-05
1515,311,ANXA11,51,5.47E-05
1516,5471,PPAT,43,5.47E-05
1517,5867,RAB4A,49,5.46E-05
1518,7837,PXDN,31,5.46E-05
1519,22983,MAST1,43,5.46E-05
1520,5836,PYGL,54,5.46E-05
1521,2804,GOLGB1,52,5.45E-05
1522,6942,TCF20,49,5.45E-05
1523,55327,LIN7C,56,5.45E-05
1524,51320,MEX3C,63,5.44E-05
1525,23163,GGA3,49,5.44E-05
1526,29904,EEF2K,48,5.44E-05
1527,183,AGT,27,5.44E-05
1528,26286,ARFGAP3,27,5.43E-05
1529,91137,SLC25A46,50,5.43E-05
1530,85369,STRIP1,60,5.42E-05
1531,57727,NCOA5,45,5.42E-05
1532,23234,DNAJC9,55,5.42E-05
1533,4004,LMO1,41,5.42E-05
1534,51382,ATP6V1D,53,5.42E-05
1535,64783,RBM15,57,5.42E-05
1536,10817,FRS3,36,5.42E-05
1537,84060,RBM48,52,5.42E-05
1538,55787,TXLNG,48,5.41E-05
1539,5834,PYGB,52,5.41E-05
1540,54870,QRICH1,46,5.41E-05
1541,55138,FAM90A1,53,5.41E-05
1542,51466,EVL,51,5.40E-05
1543,56125,PCDHB11,47,5.40E-05
