Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
PTCH2	N	Y
EIF2B3	N	N
HECTD3	N	N
UROD	Y	N
ZSWIM5	N	N
HPDL	N	N
MUTYH	N	N
TOE1	N	N
TESK2	N	N
CCDC163P	N	N
MMACHC	N	N
PRDX1	N	Y
AKR1A1	N	Y
NASP	Y	N
CCDC17	N	N
GPBP1L1	N	N
TMEM69	N	N
IPP	N	N
MAST2	N	N
PIK3R3	N	N
TSPAN1	N	N
POMGNT1	Y	N
LURAP1	N	N
RAD54L	N	Y
LRRC41	N	N
UQCRH	N	N
NSUN4	N	N
FAAH	N	Y
DMBX1	Y	N
KNCN	N	N
MKNK1	N	Y
MOB3C	N	N
ATPAF1	N	N
KIAA0494	N	N
ATPAF1-AS1	N	N
CYP4B1	N	N
CYP4A11	N	Y
CYP4X1	N	N
CYP4Z1	N	N
CYP4A22	N	N
PDZK1IP1	N	N
TAL1	Y	N
STIL	Y	N
CMPK1	N	N
FOXE3	N	Y
FOXD2	N	Y
RP11-543D5.3	N	N
SLC5A9	N	N
SPATA6	N	N
AGBL4	N	N
BEND5	N	N
AL645730.2	N	N
ELAVL4	N	Y
DMRTA2	N	N
FAF1	Y	N
CDKN2C	N	Y
C1orf185	N	N
RNF11	N	N
TTC39A	N	N
EPS15	N	N
OSBPL9	N	N
NRD1	Y	N
RAB3B	N	Y
TXNDC12	N	N
KTI12	N	N
BTF3L4	N	N
ZFYVE9	N	N
CC2D1B	N	N
ORC1	N	N
PRPF38A	N	N
ZCCHC11	N	N
GPX7	N	N
FAM159A	N	N
SELRC1	N	N
ZYG11B	N	N
ZYG11A	N	N
ECHDC2	N	N
SCP2	N	Y
PODN	N	N
SLC1A7	N	N
CPT2	N	N
C1orf123	N	N
MAGOH	Y	N
LRP8	N	Y
DMRTB1	N	N
GLIS1	N	Y
TMEM48	N	N
YIPF1	N	N
DIO1	N	Y
HSPB11	N	N
LRRC42	N	N
LDLRAD1	N	N
TMEM59	N	N
TCEANC2	N	N
AL161915.1	N	N
CDCP2	N	N
RP11-446E24.4	N	N
AL357673.1	N	N
CYB5RL	N	N
MRPL37	N	N
SSBP3	Y	N
C1orf191	N	N
ACOT11	N	N
FAM151A	N	N
HEATR8	N	N
TTC4	N	N
PARS2	N	N
TTC22	N	N
C1orf177	N	N
DHCR24	Y	N
TMEM61	N	N
BSND	Y	N
PCSK9	N	Y
USP24	N	N
PPAP2B	Y	N
PRKAA2	N	Y
C1orf168	N	N
C8A	N	N
C8B	N	Y
DAB1	Y	N
OMA1	N	N
TACSTD2	N	N
MYSM1	N	N
JUN	Y	N
FGGY	N	N
HOOK1	N	Y
CYP2J2	N	N
C1orf87	N	N
NFIA	Y	N
TM2D1	N	N
INADL	N	N
L1TD1	N	Y
KANK4	N	N
USP1	Y	N
DOCK7	N	Y
ANGPTL3	N	Y
ATG4C	N	Y
FOXD3	Y	N
ALG6	N	N
ITGB3BP	N	N
EFCAB7	N	N
DLEU2L	N	N
PGM1	N	N
ROR1	Y	N
UBE2U	N	N
CACHD1	N	N
RAVER2	N	N
JAK1	Y	N
AK4	N	N
DNAJC6	Y	N
LEPR	N	Y
LEPROT	N	N
PDE4B	N	Y
SGIP1	N	N
AL139147.1	N	N
TCTEX1D1	N	N
INSL5	N	Y
WDR78	N	N
MIER1	N	N
SLC35D1	Y	N
C1orf141	N	N
IL23R	N	Y
IL12RB2	N	Y
SERBP1	N	N
GADD45A	N	Y
GNG12	N	N
DIRAS3	N	N
WLS	Y	N
RPE65	N	Y
DEPDC1	N	N
LRRC7	N	Y
LRRC40	N	N
SRSF11	N	N
ANKRD13C	N	N
HHLA3	N	N
CTH	N	Y
PTGER3	N	Y
ZRANB2	N	N
NEGR1	N	N
LRRIQ3	N	N
FPGT	N	N
FPGT-TNNI3K	N	N
LRRC53	N	N
C1orf173	N	N
CRYZ	N	N
TYW3	N	N
LHX8	Y	N
SLC44A5	N	N
ACADM	Y	N
RABGGTB	N	N
MSH4	N	Y
ASB17	N	N
ST6GALNAC3	N	N
ST6GALNAC5	N	N
PIGK	N	N
AK5	N	N
ZZZ3	N	N
USP33	N	N
FAM73A	N	N
NEXN	N	N
FUBP1	N	N
DNAJB4	N	N
GIPC2	N	N
PTGFR	N	Y
IFI44L	N	N
IFI44	N	N
ELTD1	N	N
LPHN2	N	N
TTLL7	N	N
PRKACB	N	Y
SAMD13	N	N
DNASE2B	N	Y
RPF1	N	N
GNG5	N	N
CTBS	N	N
C1orf180	N	N
SSX2IP	N	N
LPAR3	N	Y
MCOLN2	N	N
WDR63	N	N
MCOLN3	Y	N
SYDE2	N	N
C1orf52	N	N
BCL10	Y	N
DDAH1	Y	N
CYR61	Y	N
ZNHIT6	N	N
COL24A1	N	N
ODF2L	N	N
CLCA2	N	Y
CLCA1	N	N
CLCA4	N	N
SH3GLB1	N	Y
RP4-604K5.1	N	N
HS2ST1	Y	N
LMO4	Y	N
PKN2	N	N
GTF2B	N	N
CCBL2	N	N
RBMXL1	N	N
GBP3	N	N
GBP1	N	N
GBP2	N	Y
GBP7	N	N
GBP4	N	N
GBP5	N	N
GBP6	N	N
LRRC8B	N	N
LRRC8C	N	N
LRRC8D	N	N
ZNF326	N	N
BARHL2	Y	N
ZNF644	N	N
HFM1	N	N
CDC7	Y	N
TGFBR3	Y	N
BRDT	N	Y
EPHX4	N	N
BTBD8	N	N
KIAA1107	N	N
C1orf146	N	N
GLMN	N	N
RPAP2	N	N
GFI1	N	Y
EVI5	N	N
RPL5	N	N
FAM69A	N	N
MTF2	Y	N
TMED5	N	N
CCDC18	N	N
DR1	N	N
FNBP1L	N	N
BCAR3	N	Y
DNTTIP2	N	N
GCLM	N	Y
ABCA4	N	Y
ARHGAP29	N	N
ABCD3	N	N
F3	Y	N
SLC44A3	N	N
CNN3	N	N
ALG14	N	N
TMEM56	N	N
RWDD3	N	N
PTBP2	N	N
DPYD	N	N
SNX7	N	N
LPPR5	N	N
RP4-788L13.1	N	N
PALMD	N	N
FRRS1	N	N
AGL	N	N
SLC35A3	N	N
HIAT1	N	N
SASS6	N	N
TRMT13	N	N
LRRC39	N	N
DBT	Y	N
RTCA	N	N
CDC14A	N	N
GPR88	N	N
VCAM1	Y	N
EXTL2	N	N
SLC30A7	N	Y
DPH5	N	N
S1PR1	Y	N
OLFM3	N	N
COL11A1	Y	N
RNPC3	N	N
AMY2B	N	N
AMY2A	N	N
AMY1A	N	N
AMY1B	N	N
AMY1C	N	N
PRMT6	N	N
NTNG1	N	N
VAV3	N	Y
SLC25A24	N	N
NBPF4	N	N
NBPF6	N	N
FAM102B	N	N
HENMT1	N	N
PRPF38B	N	N
FNDC7	N	N
STXBP3	Y	N
AKNAD1	N	N
GPSM2	N	Y
CLCC1	N	N
WDR47	N	N
TAF13	N	N
TMEM167B	N	N
C1orf194	N	N
KIAA1324	N	N
SARS	N	N
CELSR2	N	Y
PSRC1	N	N
MYBPHL	N	N
SORT1	N	Y
PSMA5	N	N
SYPL2	N	Y
ATXN7L2	N	N
CYB561D1	N	N
AMIGO1	N	N
GPR61	N	N
GNAI3	N	Y
GNAT2	N	Y
AMPD2	N	N
GSTM4	N	N
GSTM2	N	N
GSTM1	N	Y
GSTM5	N	N
GSTM3	N	N
EPS8L3	N	N
CSF1	Y	N
AHCYL1	N	N
FAM40A	N	N
ALX3	N	Y
UBL4B	N	N
SLC6A17	N	N
KCNC4	N	N
RBM15	Y	N
SLC16A4	N	N
HBXIP	N	N
PROK1	N	N
KCNA10	N	N
KCNA2	Y	N
KCNA3	N	Y
CD53	N	N
LRIF1	N	N
DRAM2	N	N
CEPT1	N	N
DENND2D	N	N
CHI3L2	N	N
CHIA	N	N
C1orf88	Y	N
OVGP1	N	N
WDR77	Y	N
ATP5F1	N	N
C1orf162	N	N
ADORA3	N	Y
RAP1A	Y	N
FAM212B	N	N
DDX20	Y	N
KCND3	N	N
CTTNBP2NL	N	N
WNT2B	N	Y
ST7L	N	N
CAPZA1	N	N
MOV10	N	N
RHOC	N	Y
PPM1J	N	N
FAM19A3	N	N
SLC16A1	N	N
LRIG2	N	N
MAGI3	N	N
PHTF1	N	N
RSBN1	N	N
PTPN22	N	Y
BCL2L15	N	N
AP4B1	N	Y
DCLRE1B	Y	N
HIPK1	N	Y
OLFML3	N	Y
SYT6	N	N
TRIM33	Y	N
BCAS2	N	N
DENND2C	N	N
AMPD1	N	N
NRAS	N	Y
CSDE1	N	N
SIKE1	N	N
SYCP1	N	Y
TSHB	N	N
TSPAN2	N	N
NGF	Y	N
VANGL1	N	Y
CASQ2	N	Y
NHLH2	N	Y
SLC22A15	N	N
MAB21L3	N	N
ATP1A1	Y	N
ATP1A1OS	N	N
CD58	N	N
IGSF3	N	N
C1orf137	N	N
CD2	N	Y
PTGFRN	N	N
CD101	N	Y
TTF2	N	N
TRIM45	N	N
VTCN1	N	Y
MAN1A2	Y	N
FAM46C	N	N
GDAP2	N	N
WDR3	N	N
SPAG17	N	N
TBX15	Y	N
WARS2	N	N
HAO2	N	N
HSD3B2	N	N
HSD3B1	N	N
ZNF697	N	N
PHGDH	Y	N
HMGCS2	N	N
REG4	N	N
ADAM30	N	N
NOTCH2	Y	N
FAM72B	N	N
FCGR1B	N	N
PPIAL4G	N	N
FAM72D	N	N
RP3-377D14.1	N	N
AL592284.2	N	N
PPIAL4B	N	N
NBPF9	N	N
PDE4DIP	N	N
NOTCH2NL	N	N
RP11-458D21.5	N	N
NBPF10	N	N
HFE2	N	Y
TXNIP	N	Y
POLR3GL	N	N
ANKRD34A	N	N
LIX1L	N	N
RBM8A	N	N
GNRHR2	N	N
PEX11B	Y	N
ITGA10	N	Y
ANKRD35	N	N
PIAS3	N	N
NUDT17	N	N
POLR3C	N	N
RNF115	N	N
CD160	N	N
PDZK1	N	Y
GPR89A	N	N
GPR89C	N	N
WI2-3658N16.1	N	N
NBPF11	N	N
NBPF12	N	N
PRKAB2	N	Y
FMO5	N	N
CHD1L	N	N
BCL9	N	N
ACP6	N	N
GJA5	Y	N
GJA8	N	Y
GPR89B	N	N
NBPF24	N	N
PPIAL4A	N	N
NBPF14	N	N
PPIAL4D	N	N
NBPF20	N	N
NBPF15	N	N
NBPF16	N	N
HIST2H3PS2	N	N
FAM72C	N	N
PPIAL4C	N	N
AL358813.2	N	N
FCGR1A	N	Y
HIST2H2BF	N	N
HIST2H3D	N	N
HIST2H4A	N	N
HIST2H3C	N	N
HIST2H2AA3	N	N
HIST2H2AA4	N	N
HIST2H3A	N	N
HIST2H4B	N	N
HIST2H2BE	N	N
BOLA1	N	N
HIST2H2AC	N	N
HIST2H2AB	N	N
SV2A	Y	N
SF3B4	N	N
MTMR11	N	N
OTUD7B	N	N
VPS45	N	N
PLEKHO1	N	Y
ANP32E	N	Y
CA14	N	Y
APH1A	Y	N
C1orf54	N	N
C1orf51	N	N
MRPS21	N	N
AL138795.1	N	N
PRPF3	Y	N
RPRD2	N	N
TARS2	N	N
ECM1	N	Y
ADAMTSL4	N	N
AL356356.1	N	N
C1orf138	N	N
MCL1	N	Y
ENSA	N	N
GOLPH3L	N	N
HORMAD1	N	Y
CTSS	N	Y
CTSK	N	Y
ARNT	Y	N
SETDB1	Y	N
CERS2	N	Y
ANXA9	N	N
FAM63A	N	N
PRUNE	N	Y
BNIPL	N	N
C1orf56	N	N
CDC42SE1	N	N
MLLT11	N	N
GABPB2	N	Y
SEMA6C	N	Y
TNFAIP8L2	N	Y
LYSMD1	N	N
SCNM1	N	N
TMOD4	N	N
VPS72	N	N
PIP5K1A	N	Y
PSMD4	Y	N
RP11-126K1.2	N	N
ZNF687	N	N
PI4KB	N	N
RFX5	N	Y
SELENBP1	N	N
PSMB4	N	N
POGZ	N	N
CGN	N	N
TUFT1	N	N
SNX27	Y	N
CELF3	N	Y
RIIAD1	N	N
AL589765.1	N	N
MRPL9	N	N
OAZ3	N	Y
TDRKH	N	N
LINGO4	N	N
RORC	N	Y
C2CD4D	N	N
THEM5	N	N
THEM4	N	Y
S100A10	N	Y
S100A11	N	Y
TCHHL1	N	N
TCHH	N	N
RPTN	N	N
HRNR	N	N
FLG	Y	N
FLG2	N	N
CRNN	N	N
LCE5A	N	N
CRCT1	N	N
LCE3E	N	N
LCE3D	N	N
LCE3C	N	N
LCE3B	N	N
LCE3A	N	N
LCE2D	N	N
LCE2C	N	N
LCE2B	N	N
LCE2A	N	N
LCE4A	N	N
C1orf68	N	N
KPRP	N	N
LCE1F	N	N
LCE1E	N	N
LCE1D	N	N
LCE1C	N	N
LCE1B	N	N
LCE1A	N	N
LCE6A	N	N
SMCP	N	Y
IVL	N	Y
SPRR4	N	N
SPRR1A	N	N
SPRR3	N	N
SPRR1B	N	N
SPRR2D	N	N
SPRR2A	N	N
SPRR2B	N	N
SPRR2E	N	N
SPRR2F	N	N
SPRR2G	N	N
LELP1	N	N
PRR9	N	N
LOR	N	Y
PGLYRP3	N	Y
PGLYRP4	N	Y
S100A9	N	Y
S100A12	N	N
S100A8	Y	N
S100A7A	N	N
S100A7L2	N	N
S100A7	N	N
S100A6	N	N
S100A5	N	N
S100A4	Y	N
S100A3	N	N
S100A2	N	N
S100A16	N	N
S100A14	N	N
S100A13	N	N
S100A1	N	Y
CHTOP	N	N
SNAPIN	Y	N
ILF2	Y	N
NPR1	N	Y
INTS3	N	N
SLC27A3	N	N
GATAD2B	N	N
DENND4B	N	N
CRTC2	N	Y
SLC39A1	N	Y
CREB3L4	N	Y
JTB	N	N
RAB13	N	N
RPS27	N	N
NUP210L	N	Y
TPM3	Y	N
C1orf189	N	N
C1orf43	N	N
UBAP2L	N	Y
HAX1	N	Y
AQP10	N	N
ATP8B2	N	N
IL6R	N	Y
SHE	N	N
TDRD10	N	N
UBE2Q1	N	N
CHRNB2	N	Y
ADAR	Y	N
KCNN3	N	Y
PMVK	N	N
PBXIP1	N	N
PYGO2	Y	N
SHC1	Y	N
CKS1B	N	Y
FLAD1	N	N
LENEP	N	N
ZBTB7B	N	Y
DCST2	N	N
DCST1	N	N
ADAM15	N	Y
EFNA4	N	N
EFNA3	N	Y
RP11-540D14.8	N	N
EFNA1	N	Y
SLC50A1	N	N
DPM3	N	N
KRTCAP2	N	N
TRIM46	N	N
MUC1	N	Y
THBS3	N	Y
MTX1	N	N
GBA	Y	N
FAM189B	N	N
SCAMP3	N	N
CLK2	N	N
HCN3	N	N
PKLR	N	Y
FDPS	N	N
RUSC1	N	N
ASH1L	N	N
MSTO1	N	N
YY1AP1	N	N
DAP3	Y	N
GON4L	N	Y
SYT11	N	Y
RIT1	N	N
KIAA0907	N	N
RXFP4	N	N
ARHGEF2	N	N
SSR2	N	N
UBQLN4	N	N
LAMTOR2	Y	N
RAB25	N	Y
