Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
C1orf213	0	0
TCEA3	0	0
ASAP3	0	0
E2F2	0	1
ID3	0	1
MDS2	0	0
RPL11	0	0
TCEB3	1	0
PITHD1	0	0
LYPLA2	0	0
GALE	0	0
HMGCL	1	0
FUCA1	0	0
CNR2	0	1
PNRC2	0	1
SRSF10	1	0
MYOM3	0	0
IL22RA1	0	0
IL28RA	0	1
GRHL3	1	0
C1orf201	0	0
NIPAL3	0	1
RCAN3	0	0
C1orf130	0	0
SRRM1	0	0
CLIC4	0	1
RUNX3	1	0
SYF2	0	0
C1orf63	0	0
RHD	0	0
TMEM50A	0	0
RHCE	0	0
TMEM57	0	0
LDLRAP1	0	1
MAN1C1	0	0
SEPN1	0	1
RP1-317E23.6	0	0
FAM54B	0	0
AL020996.1	0	0
C1orf135	0	0
PAQR7	0	0
STMN1	0	1
PAFAH2	0	1
EXTL1	0	0
SLC30A2	0	0
TRIM63	0	1
PDIK1L	0	0
FAM110D	0	0
ZNF593	0	0
CNKSR1	0	0
CATSPER4	0	1
CEP85	0	0
SH3BGRL3	0	0
UBXN11	0	0
CD52	0	1
AIM1L	0	0
ZNF683	0	0
LIN28A	1	0
DHDDS	0	0
HMGN2	0	0
RPS6KA1	0	0
ARID1A	1	0
PIGV	0	0
ZDHHC18	0	0
SFN	1	0
GPN2	0	0
GPATCH3	0	0
NUDC	0	0
NR0B2	0	1
C1orf172	0	0
TRNP1	0	0
FAM46B	0	0
SLC9A1	1	0
WDTC1	1	0
TMEM222	0	0
SYTL1	0	1
MAP3K6	0	1
FCN3	0	0
CD164L2	0	0
GPR3	0	1
WASF2	1	0
AHDC1	0	0
FGR	0	1
IFI6	0	0
FAM76A	0	0
STX12	0	0
PPP1R8	1	0
C1orf38	0	0
RPA2	0	0
SMPDL3B	0	0
XKR8	0	0
EYA3	0	1
PTAFR	0	1
AL353354.1	0	0
DNAJC8	0	0
ATPIF1	0	0
SESN2	0	1
MED18	0	0
PHACTR4	1	0
RCC1	0	0
TRNAU1AP	0	0
TAF12	0	0
RAB42	0	0
GMEB1	0	0
YTHDF2	0	0
OPRD1	0	1
EPB41	0	1
TMEM200B	0	0
SRSF4	0	0
MECR	0	0
PTPRU	0	0
MATN1	0	1
LAPTM5	0	1
SDC3	0	1
PUM1	0	0
NKAIN1	0	0
SNRNP40	0	0
ZCCHC17	0	0
FABP3	0	1
SERINC2	0	0
TINAGL1	0	0
HCRTR1	0	1
PEF1	0	0
COL16A1	0	0
BAI2	0	1
SPOCD1	0	0
PTP4A2	0	0
AL136115.1	0	0
KHDRBS1	1	0
TMEM39B	0	0
KPNA6	0	1
TXLNA	0	0
CCDC28B	0	0
IQCC	0	0
DCDC2B	0	0
TMEM234	0	0
EIF3I	0	0
FAM167B	0	0
LCK	0	1
HDAC1	1	0
MARCKSL1	1	0
TSSK3	0	0
RP4-811H24.6	0	0
BSDC1	0	0
RP1-27O5.3	0	0
ZBTB8B	0	0
ZBTB8A	0	0
ZBTB8OS	0	0
RBBP4	0	0
SYNC	0	1
KIAA1522	0	0
YARS	0	0
S100PBP	0	0
FNDC5	0	0
HPCA	0	1
TMEM54	0	0
RNF19B	0	1
AK2	0	0
ADC	0	0
TRIM62	0	0
ZNF362	0	0
PHC2	0	1
ZSCAN20	0	0
CSMD2	0	0
HMGB4	0	0
C1orf94	0	0
C1orf212	0	0
GJB5	1	0
GJB4	0	1
GJB3	1	0
GJA4	0	1
DLGAP3	0	1
ZMYM6	0	0
ZMYM6NB	0	0
ZMYM1	0	0
SFPQ	0	0
ZMYM4	0	0
KIAA0319L	0	0
NCDN	1	0
TFAP2E	0	1
PSMB2	0	0
C1orf216	0	0
CLSPN	0	0
EIF2C4	0	0
EIF2C1	0	0
EIF2C3	0	0
TEKT2	0	1
ADPRHL2	0	0
COL8A2	0	1
TRAPPC3	0	0
MAP7D1	0	0
THRAP3	0	0
SH3D21	0	0
FAM176B	0	0
AL591845.1	0	0
STK40	0	0
LSM10	0	0
OSCP1	0	0
MRPS15	0	0
CSF3R	0	1
GRIK3	0	1
ZC3H12A	0	1
MEAF6	0	0
SNIP1	0	0
DNALI1	0	0
GNL2	0	0
RSPO1	0	1
C1orf109	0	0
CDCA8	1	0
EPHA10	0	0
MANEAL	0	0
YRDC	0	0
C1orf122	0	0
MTF1	1	0
AL929472.1	0	0
INPP5B	0	1
SF3A3	0	0
FHL3	0	0
UTP11L	0	0
POU3F1	1	0
RRAGC	0	0
MYCBP	0	0
GJA9	0	0
RHBDL2	0	0
AKIRIN1	0	1
NDUFS5	0	0
MACF1	1	0
KIAA0754	0	0
BMP8A	0	1
PABPC4	0	0
HEYL	0	1
NT5C1A	0	0
HPCAL4	0	0
PPIE	0	0
BMP8B	1	0
OXCT2	0	0
TRIT1	0	0
MYCL1	0	1
MFSD2A	0	0
CAP1	0	0
PPT1	0	1
RLF	0	0
TMCO2	0	0
ZMPSTE24	1	0
COL9A2	0	0
SMAP2	0	0
ZNF643	0	0
ZNF642	0	0
DEM1	0	0
ZNF684	0	0
RIMS3	0	0
NFYC	0	0
KCNQ4	0	1
CITED4	0	0
CTPS1	0	0
SLFNL1	0	0
SCMH1	0	1
FOXO6	0	0
EDN2	0	0
HIVEP3	0	1
GUCA2B	0	1
GUCA2A	0	1
FOXJ3	0	1
RIMKLA	0	0
ZMYND12	0	0
PPCS	0	0
CCDC30	0	0
PPIH	0	0
YBX1	1	0
CLDN19	0	1
LEPRE1	0	1
C1orf50	0	0
CCDC23	0	0
ERMAP	0	0
ZNF691	0	0
SLC2A1	1	0
FAM183A	0	0
EBNA1BP2	0	0
WDR65	0	0
TMEM125	0	0
C1orf210	0	0
TIE1	1	0
MPL	0	1
CDC20	1	0
ELOVL1	0	0
MED8	0	0
SZT2	1	0
HYI	0	0
PTPRF	0	1
KDM4A	0	0
ST3GAL3	0	0
ARTN	0	1
IPO13	0	0
DPH2	0	0
ATP6V0B	0	0
B4GALT2	0	1
CCDC24	0	0
SLC6A9	1	0
KLF17	0	0
DMAP1	1	0
ERI3	0	0
RNF220	0	0
TMEM53	0	0
C1orf228	0	0
KIF2C	0	0
RPS8	0	0
BEST4	0	0
PLK3	0	1
TCTEX1D4	0	0
BTBD19	0	0
PTCH2	0	1
EIF2B3	0	0
HECTD3	0	0
UROD	1	0
ZSWIM5	0	0
HPDL	0	0
MUTYH	0	0
TOE1	0	0
TESK2	0	0
CCDC163P	0	0
MMACHC	0	0
PRDX1	0	1
AKR1A1	0	1
NASP	1	0
CCDC17	0	0
GPBP1L1	0	0
TMEM69	0	0
IPP	0	0
MAST2	0	0
PIK3R3	0	0
TSPAN1	0	0
POMGNT1	1	0
LURAP1	0	0
RAD54L	0	1
LRRC41	0	0
UQCRH	0	0
NSUN4	0	0
FAAH	0	1
