Rank,ID,Name,Interactant count,Score
6402,90288,EFCAB12,3,2.91E-06
6403,85293,KRTAP3-3,4,2.91E-06
6404,27233,SULT1C4,4,2.91E-06
6405,22854,NTNG1,3,2.90E-06
6406,4158,MC2R,4,2.90E-06
6407,54848,ARHGEF38,3,2.90E-06
6408,55160,ARHGEF10L,4,2.90E-06
6409,9121,SLC16A5,3,2.89E-06
6410,286204,CRB2,3,2.89E-06
6411,57526,PCDH19,2,2.89E-06
6412,7733,ZNF180,3,2.89E-06
6413,338339,CLEC4D,1,2.89E-06
6414,26253,CLEC4E,3,2.88E-06
6415,83544,DNAL1,3,2.88E-06
6416,255520,ELMOD2,3,2.88E-06
6417,92482,BBIP1,3,2.88E-06
6418,10777,ARPP21,3,2.87E-06
6419,4496,MT1H,2,2.86E-06
6420,125919,ZNF543,3,2.86E-06
6421,91181,NUP210L,2,2.86E-06
6422,56098,PCDHGC4,4,2.86E-06
6423,4923,NTSR1,3,2.86E-06
6424,345275,HSD17B13,3,2.86E-06
6425,1311,COMP,4,2.85E-06
6426,8745,ADAM23,2,2.85E-06
6427,84102,SLC41A2,3,2.84E-06
6428,54020,SLC37A1,3,2.84E-06
6429,22798,LAMB4,3,2.84E-06
6430,7104,TM4SF4,3,2.84E-06
6431,27284,SULT1B1,4,2.84E-06
6432,3231,HOXD1,3,2.83E-06
6433,169611,OLFML2A,3,2.83E-06
6434,50838,TAS2R13,2,2.82E-06
6435,25981,DNAH1,3,2.82E-06
6436,23443,SLC35A3,3,2.81E-06
6437,84336,TMEM101,3,2.81E-06
6438,1140,CHRNB1,3,2.81E-06
6439,389114,ZNF662,3,2.81E-06
6440,7047,TGM4,3,2.80E-06
6441,29104,N6AMT1,3,2.79E-06
6442,114815,SORCS1,3,2.79E-06
6443,29887,SNX10,3,2.78E-06
6444,5244,ABCB4,3,2.78E-06
6445,89781,HPS4,3,2.78E-06
6446,3352,HTR1D,3,2.78E-06
6447,9936,CD302,3,2.77E-06
6448,7592,ZNF41,4,2.77E-06
6449,55788,LMBRD1,3,2.77E-06
6450,84320,ACBD6,3,2.76E-06
6451,6336,SCN10A,3,2.76E-06
6452,79949,PLEKHS1,3,2.75E-06
6453,9481,SLC25A27,1,2.75E-06
6454,22904,SBNO2,3,2.75E-06
6455,201514,ZNF584,2,2.74E-06
6456,282890,ZNF311,4,2.74E-06
6457,2166,FAAH,3,2.73E-06
6458,5680,PSG11,4,2.73E-06
6459,257194,NEGR1,2,2.72E-06
6460,10894,LYVE1,4,2.72E-06
6461,196385,DNAH10,2,2.72E-06
6462,84700,MYO18B,3,2.71E-06
6463,131890,GRK7,3,2.71E-06
6464,340205,TREML1,3,2.71E-06
6465,7638,ZNF221,4,2.70E-06
6466,221078,NSUN6,3,2.70E-06
6467,83744,ZNF484,3,2.69E-06
6468,7108,TM7SF2,3,2.69E-06
6469,1237,CCR8,6,2.69E-06
6470,51266,CLEC1B,3,2.69E-06
6471,144406,WDR66,3,2.68E-06
6472,26207,PITPNC1,2,2.68E-06
6473,11126,CD160,3,2.67E-06
6474,29999,FSCN3,3,2.67E-06
6475,8929,PHOX2B,2,2.67E-06
6476,10863,ADAM28,3,2.66E-06
6477,6539,SLC6A12,3,2.66E-06
6478,134728,IRAK1BP1,3,2.66E-06
6479,9033,PKD2L1,4,2.65E-06
6480,29802,VPREB3,2,2.65E-06
6481,120224,TMEM45B,3,2.65E-06
6482,10877,CFHR4,2,2.65E-06
6483,22891,ZNF365,3,2.65E-06
6484,11317,RBPJL,3,2.64E-06
6485,11005,SPINK5,3,2.64E-06
6486,84561,SLC12A8,1,2.64E-06
6487,350383,GPR142,1,2.63E-06
6488,59352,LGR6,1,2.63E-06
6489,80343,SEL1L2,2,2.63E-06
6490,26027,ACOT11,3,2.63E-06
6491,90523,MLIP,3,2.63E-06
6492,142683,ITLN2,3,2.63E-06
6493,8382,NME5,4,2.62E-06
6494,84334,COA8,3,2.62E-06
6495,55277,FGGY,3,2.62E-06
6496,57711,ZNF529,3,2.62E-06
6497,64167,ERAP2,2,2.61E-06
6498,115584,SLC5A11,2,2.60E-06
6499,80345,ZSCAN16,4,2.60E-06
6500,54436,SH3TC1,2,2.60E-06
6501,1179,CLCA1,3,2.60E-06
6502,80117,ARL14,3,2.60E-06
6503,79953,SYNDIG1,3,2.59E-06
6504,1066,CES1,3,2.59E-06
6505,151531,UPP2,3,2.59E-06
6506,51365,PLA1A,3,2.59E-06
6507,4636,MYL5,3,2.59E-06
6508,8821,INPP4B,3,2.59E-06
6509,3338,DNAJC4,3,2.58E-06
6510,83733,SLC25A18,3,2.58E-06
6511,58495,OVOL2,3,2.58E-06
6512,166863,RBM46,3,2.57E-06
6513,152100,CMC1,2,2.56E-06
6514,259197,NCR3,3,2.56E-06
6515,116519,APOA5,3,2.56E-06
6516,7730,ZNF177,3,2.55E-06
6517,6725,SRMS,3,2.55E-06
6518,161835,FSIP1,3,2.55E-06
6519,116369,SLC26A8,2,2.55E-06
6520,1142,CHRNB3,3,2.54E-06
6521,51276,ZNF571,3,2.54E-06
6522,171389,NLRP6,3,2.54E-06
6523,9985,REC8,4,2.53E-06
6524,146712,B3GNTL1,3,2.53E-06
6525,127,ADH4,3,2.53E-06
6526,59340,HRH4,4,2.53E-06
6527,114132,SIGLEC11,3,2.52E-06
6528,89846,FGD3,3,2.52E-06
6529,7941,PLA2G7,2,2.52E-06
6530,94031,HTRA3,2,2.52E-06
6531,137970,UNC5D,4,2.52E-06
6532,163259,DENND2C,3,2.52E-06
6533,9420,CYP7B1,2,2.51E-06
6534,7044,LEFTY2,3,2.50E-06
6535,153478,PLEKHG4B,3,2.50E-06
6536,79792,GSDMD,2,2.50E-06
6537,4159,MC3R,4,2.49E-06
6538,4161,MC5R,4,2.49E-06
6539,151556,GPR155,1,2.49E-06
6540,51378,ANGPT4,3,2.49E-06
6541,79725,THAP9,3,2.49E-06
6542,7200,TRH,3,2.49E-06
6543,5053,PAH,3,2.49E-06
6544,79156,PLEKHF1,3,2.48E-06
6545,6101,RP1,3,2.48E-06
6546,4061,LY6E,3,2.47E-06
6547,57209,ZNF248,2,2.47E-06
6548,57828,CATSPERG,3,2.47E-06
6549,9,NAT1,3,2.46E-06
6550,253639,ZNF620,3,2.46E-06
6551,54768,HYDIN,3,2.46E-06
6552,55769,ZNF83,3,2.45E-06
6553,11055,ZPBP,3,2.45E-06
6554,64073,C19orf33,3,2.45E-06
6555,338596,ST8SIA6,2,2.45E-06
6556,84870,RSPO3,3,2.44E-06
6557,161003,STOML3,3,2.43E-06
6558,9856,KIAA0319,3,2.43E-06
6559,116159,CYYR1,3,2.43E-06
6560,59084,ENPP5,2,2.42E-06
6561,11174,ADAMTS6,3,2.42E-06
6562,3446,IFNA10,3,2.42E-06
6563,22986,SORCS3,3,2.41E-06
6564,10335,MRVI1,3,2.41E-06
6565,7369,UMOD,3,2.40E-06
6566,3067,HDC,3,2.40E-06
6567,4995,OR3A2,1,2.40E-06
6568,8911,CACNA1I,1,2.40E-06
6569,254879,OR2T6,1,2.40E-06
6570,255189,PLA2G4F,1,2.40E-06
6571,6756,SSX1,3,2.39E-06
6572,283358,B4GALNT3,3,2.39E-06
6573,7498,XDH,3,2.39E-06
6574,1056,CEL,3,2.38E-06
6575,1573,CYP2J2,3,2.38E-06
6576,290,ANPEP,2,2.37E-06
6577,8190,MIA,3,2.37E-06
6578,221472,FGD2,3,2.36E-06
6579,168537,GIMAP7,2,2.36E-06
6580,112611,RWDD2A,2,2.36E-06
6581,126204,NLRP13,2,2.36E-06
6582,117531,TMC1,3,2.35E-06
6583,8534,CHST1,3,2.35E-06
6584,81931,ZNF93,2,2.34E-06
6585,27198,HCAR1,2,2.34E-06
6586,79668,PARP8,2,2.33E-06
6587,9390,SLC22A13,3,2.33E-06
6588,9617,MTRF1,2,2.33E-06
6589,8846,ALKBH1,2,2.32E-06
6590,7732,RNF112,2,2.32E-06
6591,158326,FREM1,2,2.32E-06
6592,50509,COL5A3,3,2.32E-06
6593,55222,LRRC20,3,2.32E-06
6594,953,ENTPD1,2,2.30E-06
6595,56673,C11orf16,3,2.30E-06
6596,348094,ANKDD1A,2,2.29E-06
6597,389337,ARHGEF37,2,2.29E-06
6598,149095,DCST1,3,2.28E-06
6599,10795,ZNF268,2,2.28E-06
6600,54981,NMRK1,2,2.28E-06
6601,143630,UBQLNL,2,2.27E-06
6602,84618,NT5C1A,3,2.27E-06
6603,3237,HOXD11,3,2.26E-06
6604,63934,ZNF667,2,2.26E-06
6605,342892,ZNF850,2,2.25E-06
