PMPCA,5.97,19.70,57.54,95.40,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],0,0,0,0,1,-,4,0.0062,9,0.0023,0.0999,0,0,1,0.0002579,1
GGPS1,31.46,48.79,45.67,100.00,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],4,0.0062,1,0.0002579,0.0018,0,0,2,0.0005159,1
RTFDC1,28.93,55.96,61.87,91.06,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],3,0.0047,3,0.0007738,0.0406,0,0,0,0,1
C19orf40,90.56,51.08,33.73,100.00,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],2,0.0031,0,0,0.02000,Inf [1.14 - Inf],3,0.0047,0,0,0.0028,0,0,0,0,1
FNDC7,94.60,92.29,97.42,89.11,-,-,-,-,-,-,6,0.0094,6,0.0015,0.0034,6.1 [1.63 - 22.9],1,0.0016,5,0.0013,0.60040,1.21 [0.03 - 10.86],10,0.0156,25,0.0064,0.0245,2,0.0031,3,0.0007738,0.1496
GRIA4,7.05,3.06,7.99,100.00,-,-,-,-,Yes,Yes,6,0.0094,6,0.0015,0.0034,6.1 [1.63 - 22.9],0,0,1,0.0002579,1,0 [0 - 235.39],6,0.0094,12,0.0031,0.0324,0,0,8,0.0021,0.6107
KDM6B,4.79,22.04,5.55,64.55,-,-,Yes,-,-,-,5,0.0078,4,0.001,0.0043,7.62 [1.63 - 38.49],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],6,0.0094,29,0.0075,0.6243,0,0,10,0.0026,0.3751
EVPL,86.90,95.83,18.38,81.58,-,-,-,-,-,-,5,0.0078,4,0.001,0.0043,7.62 [1.63 - 38.49],2,0.0031,1,0.0002579,0.05450,12.14 [0.63 - 713.46],12,0.0188,45,0.0116,0.1292,2,0.0031,20,0.0052,0.7591
PIP5K1C,32.23,10.57,4.87,86.34,-,-,Yes,-,-,-,4,0.0062,2,5.16E-04,0.0047,12.17 [1.74 - 135.02],2,0.0031,2,0.0005159,0.09880,6.07 [0.44 - 83.66],6,0.0094,8,0.0021,0.0086,0,0,8,0.0021,0.6107
ANKMY2,52.09,71.67,89.38,93.34,-,-,-,-,-,-,4,0.0062,2,5.16E-04,0.0047,12.17 [1.74 - 135.02],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],5,0.0078,3,0.0007738,0.0022,0,0,1,0.0002579,1
ZNF536,3.20,1.13,4.52,95.94,-,-,Yes,-,-,-,4,0.0062,2,5.16E-04,0.0047,12.17 [1.74 - 135.02],0,0,0,0,1,-,5,0.0078,17,0.0044,0.2262,0,0,7,0.0018,0.6031
GIGYF1,2.75,0.95,32.73,63.36,-,-,-,-,-,-,4,0.0062,2,5.16E-04,0.0047,12.17 [1.74 - 135.02],0,0,0,0,1,-,6,0.0094,20,0.0052,0.251,0,0,5,0.0013,1
KCNQ5,14.08,3.72,5.22,87.00,-,-,-,-,-,Yes,4,0.0062,2,5.16E-04,0.0047,12.17 [1.74 - 135.02],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],4,0.0062,6,0.0015,0.0414,0,0,3,0.0007738,1
CSNK1E,30.07,19.23,4.24,85.00,-,-,-,-,-,-,4,0.0062,2,5.16E-04,0.0047,12.17 [1.74 - 135.02],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],4,0.0062,5,0.0013,0.0279,0,0,0,0,1
INTS2,17.36,6.42,11.78,99.97,-,-,-,-,-,-,4,0.0062,2,5.16E-04,0.0047,12.17 [1.74 - 135.02],2,0.0031,1,0.0002579,0.05450,12.14 [0.63 - 713.46],5,0.0078,16,0.0041,0.2064,1,0.0016,4,0.001,0.5343
ESCO1,36.23,27.21,65.83,100.00,-,-,-,-,-,-,4,0.0062,2,5.16E-04,0.0047,12.17 [1.74 - 135.02],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],7,0.0109,6,0.0015,8.75E-04,0,0,2,0.0005159,1
VWCE,10.16,32.28,42.26,91.89,-,-,-,-,-,-,6,0.0094,7,0.0018,0.0056,5.23 [1.45 - 18.24],0,0,1,0.0002579,1,0 [0 - 235.39],11,0.0172,23,0.0059,0.0055,2,0.0031,4,0.001,0.2041
