,Gene_Name,mantis_ml_proba,mantis_ml_perc
160,CD47,0.730766535,99.14098572
161,GTF2I,0.730481581,99.13561688
162,RAB3GAP1,0.730137959,99.13024804
163,EPN2,0.730129906,99.1248792
164,ANXA7,0.730098915,99.11951036
165,POMGNT1,0.729879085,99.11414152
166,ADD1,0.729853601,99.10877268
167,SDHD,0.72955759,99.10340384
168,HYOU1,0.729435876,99.098035
169,GRIA2,0.729429337,99.09266617
170,STRAP,0.729297452,99.08729733
171,ATF2,0.728867498,99.08192849
172,GNAO1,0.728700344,99.07655965
173,UBR2,0.728658883,99.07119081
174,TRIO,0.728483792,99.06582197
175,APLP2,0.72804858,99.06045313
176,MEGF8,0.72775387,99.05508429
177,GIGYF2,0.727747725,99.04971545
178,SRSF1,0.727573061,99.04434661
179,MGRN1,0.727519693,99.03897777
180,TUBB,0.727225525,99.03360893
181,TXNRD1,0.727045963,99.02824009
182,HECTD1,0.726942415,99.02287126
183,ADNP,0.726928141,99.01750242
184,PSMC4,0.726782913,99.01213358
185,DSCAM,0.725596854,99.00676474
186,OAT,0.725439479,99.0013959
187,PDS5A,0.725303233,98.99602706
188,PLXNA2,0.724466852,98.99065822
189,LAMP1,0.724030435,98.98528938
190,HSPH1,0.723676212,98.97992054
191,PRKAR1A,0.723440714,98.9745517
192,EZH1,0.723153932,98.96918286
193,GSK3B,0.723149948,98.96381402
194,SNAP25,0.723083938,98.95844518
195,PDPK1,0.723019029,98.95307634
196,YWHAQ,0.722965227,98.94770751
197,ILK,0.722921011,98.94233867
198,PLXNB1,0.722763026,98.93696983
199,CREBBP,0.722455263,98.93160099
200,CSNK2A1,0.722446106,98.92623215
201,ROCK1,0.722262084,98.92086331
202,SLC12A5,0.72225997,98.91549447
203,NRCAM,0.72204933,98.91012563
204,ETV5,0.721434716,98.90475679
205,BID,0.720618741,98.89938795
206,STK36,0.72045373,98.89401911
207,PREX2,0.720349943,98.88865027
208,RTN4,0.720218966,98.88328143
209,LDB1,0.720104921,98.8779126
210,RPS7,0.720047747,98.87254376
211,G3BP2,0.719997087,98.86717492
212,AGTPBP1,0.719964393,98.86180608
213,ABCE1,0.719931228,98.85643724
214,SOCS7,0.719379787,98.8510684
215,TDRD7,0.719022737,98.84569956
216,LRP4,0.718401323,98.84033072
217,GABRA1,0.718371668,98.83496188
218,RPS20,0.718183565,98.82959304
219,HDAC2,0.717632624,98.8242242
220,RNF10,0.717517484,98.81885536
221,KDM1A,0.717500223,98.81348652
222,YME1L1,0.717486671,98.80811768
223,KIF21A,0.717437259,98.80274885
224,EP400,0.717128943,98.79738001
225,STUB1,0.717044275,98.79201117
226,ITGA3,0.717014205,98.78664233
227,FGFR1,0.716849321,98.78127349
228,NFIX,0.716765477,98.77590465
229,HSPD1,0.716688573,98.77053581
230,KATNB1,0.716517471,98.76516697
231,MACF1,0.716245818,98.75979813
232,STX1A,0.7157664,98.75442929
233,GSN,0.714693615,98.74906045
234,SPTAN1,0.714284686,98.74369161
235,SPEN,0.714123264,98.73832277
236,PPP1R12A,0.714054508,98.73295394
237,MLST8,0.713386833,98.7275851
238,CKAP5,0.713257869,98.72221626
239,SRF,0.713102932,98.71684742
240,WNK1,0.713002011,98.71147858
241,HNRNPC,0.712875257,98.70610974
242,DLG1,0.712844654,98.7007409
243,ARFGEF2,0.712673813,98.69537206
244,CHD2,0.712660955,98.69000322
245,ABCA2,0.712570624,98.68463438
246,CDH2,0.712349872,98.67926554
247,PFKM,0.712296432,98.6738967
248,CLSTN1,0.712165277,98.66852786
249,SPTB,0.711888796,98.66315903
250,ATG4B,0.711779133,98.65779019
251,HNRNPH2,0.711739867,98.65242135
252,LRRK2,0.711285701,98.64705251
253,FAAH,0.71113084,98.64168367
254,KIF1B,0.71110408,98.63631483
255,NR3C1,0.711076357,98.63094599
256,AHI1,0.711050777,98.62557715
257,VGF,0.710993609,98.62020831
258,RRN3,0.710902175,98.61483947
259,GLG1,0.710764279,98.60947063
260,ABL1,0.710519176,98.60410179
261,CACNB1,0.710382536,98.59873295
262,FXR1,0.710370904,98.59336411
263,POLR2A,0.710313275,98.58799528
264,RASA3,0.709940928,98.58262644
265,RBL2,0.709847286,98.5772576
266,CASP2,0.709796251,98.57188876
267,STXBP3,0.709605501,98.56651992
268,ARHGAP32,0.709407778,98.56115108
269,USP22,0.709352888,98.55578224
270,COL5A3,0.709014911,98.5504134
271,PSMD4,0.708952575,98.54504456
272,PIK3C3,0.708910468,98.53967572
273,KDM6B,0.708871499,98.53430688
274,NBAS,0.70885616,98.52893804
275,IFT172,0.708771375,98.5235692
276,EIF2AK4,0.708717874,98.51820037
277,FTH1,0.708585449,98.51283153
278,GPI,0.708555744,98.50746269
279,LRP6,0.708490326,98.50209385
280,KIF2A,0.70800771,98.49672501
281,CC2D1A,0.707999925,98.49135617
282,AGRN,0.707957733,98.48598733
283,ERCC2,0.707938236,98.48061849
284,HRAS,0.707881702,98.47524965
285,FKBP8,0.707777778,98.46988081
286,DICER1,0.707725444,98.46451197
287,BMPR1A,0.707614589,98.45914313
288,ANK2,0.707379889,98.45377429
289,DPYSL2,0.707315787,98.44840545
290,PIK3R2,0.707048557,98.44303662
291,DMPK,0.70690795,98.43766778
292,MFN1,0.706895697,98.43229894
293,FN1,0.706751799,98.4269301
294,CRMP1,0.706607755,98.42156126
295,KCNQ2,0.706393256,98.41619242
296,CUX1,0.70630088,98.41082358
297,KIF5A,0.706271961,98.40545474
298,ADCY6,0.706212955,98.4000859
299,BAIAP2,0.706211302,98.39471706
300,RPL27A,0.706085585,98.38934822
301,COX4I1,0.706058347,98.38397938
302,MTHFD1,0.705788344,98.37861054
303,ARPC3,0.705458319,98.37324171
304,CAMK2A,0.704786155,98.36787287
305,GARS,0.704545984,98.36250403
306,RPS6KB2,0.704329801,98.35713519
307,MAFG,0.703556177,98.35176635
308,MAPK9,0.703527398,98.34639751
309,ABR,0.703407293,98.34102867
310,INPP4A,0.703306887,98.33565983
311,ANP32B,0.703254045,98.33029099
312,SMARCA4,0.702751918,98.32492215
313,CNOT3,0.702364288,98.31955331
314,ACTB,0.701917016,98.31418447
315,SOX10,0.701746245,98.30881563
316,LAMB1,0.701477112,98.30344679
317,PTK2B,0.701413564,98.29807796
318,LIG3,0.701328721,98.29270912
319,PSMC1,0.701229972,98.28734028
320,NCSTN,0.701221983,98.28197144
321,KIF5B,0.700873567,98.2766026
322,HIP1,0.700842899,98.27123376
323,TARDBP,0.700668015,98.26586492
324,ACTN4,0.700388987,98.26049608
325,C1GALT1C1,0.7002809,98.25512724
326,TCTN2,0.700184061,98.2497584
327,MAP2K4,0.700121729,98.24438956
328,ZEB1,0.700074136,98.23902072
329,STAT1,0.699616392,98.23365188
330,ZFAND5,0.699578964,98.22828305
331,SPTBN2,0.699455693,98.22291421
332,ZMPSTE24,0.699392222,98.21754537
333,HSP90AB1,0.699239074,98.21217653
334,PSEN1,0.698905899,98.20680769
335,CDK5RAP2,0.698903166,98.20143885
336,GLUL,0.698641425,98.19607001
337,PDS5B,0.698585497,98.19070117
338,FBXW7,0.698506242,98.18533233
339,ARNT2,0.698006813,98.17996349
340,YBX1,0.698000614,98.17459465
341,JAG2,0.697715497,98.16922581
342,UBQLN1,0.697682416,98.16385697
343,CNTN2,0.697646003,98.15848813
344,GRB2,0.697568053,98.1531193
345,PSMD7,0.697363001,98.14775046
346,SKI,0.697315573,98.14238162
347,SLC25A13,0.697280464,98.13701278
348,PFDN5,0.697181703,98.13164394
349,ATM,0.697172493,98.1262751
350,NDRG1,0.696693803,98.12090626
351,PFN2,0.696602784,98.11553742
352,TRIM8,0.696015268,98.11016858
353,MED15,0.695708805,98.10479974
354,STX1B,0.695648927,98.0994309
355,NES,0.695528655,98.09406206
356,PALB2,0.695375727,98.08869322
357,EIF4H,0.695137725,98.08332439
358,ATP1B2,0.694794971,98.07795555
359,HDAC3,0.69472536,98.07258671
360,ARHGEF2,0.6946037,98.06721787
361,CYFIP1,0.694506449,98.06184903
362,COL3A1,0.694239401,98.05648019
363,IFT57,0.694130742,98.05111135
364,PCNT,0.694055918,98.04574251
365,SIK2,0.6940033,98.04037367
366,NAMPT,0.693937896,98.03500483
367,FLNC,0.693739697,98.02963599
368,PLEC,0.693345859,98.02426715
369,DHX30,0.69325368,98.01889831
370,PCDH10,0.693192336,98.01352947
371,MYH9,0.692996796,98.00816064
372,PAX6,0.692898459,98.0027918
373,MTOR,0.692629632,97.99742296
374,LIFR,0.692509096,97.99205412
375,PTK2,0.692266011,97.98668528
376,ARID1A,0.692149749,97.98131644
377,ARCN1,0.691829584,97.9759476
378,UCHL5,0.691806083,97.97057876
