,Gene_Name,mantis_ml_proba,mantis_ml_perc
0,CRHR1,0.9984647572040558,100.0
1,MAPT,0.9875699341297149,99.99463116074305
2,PITX2,0.9856860041618347,99.9892623214861
3,CAMTA1,0.9824747025966645,99.98389348222915
4,ETS1,0.9768375754356384,99.97852464297219
5,S100B,0.9748388528823853,99.97315580371524
6,DLG2,0.9738131880760192,99.96778696445828
7,HMGA2,0.96949702501297,99.96241812520134
8,SPATA8,0.9644820332527161,99.95704928594438
9,POU3F2,0.9620573103427887,99.95168044668743
10,GSX1,0.9583026230335235,99.94631160743047
11,CRHR2,0.9577284038066864,99.94094276817353
12,NLRP12,0.956407779455185,99.93557392891657
13,FOXB1,0.9523679673671722,99.93020508965962
14,NEK5,0.9487908601760864,99.92483625040266
15,OSBPL6,0.9475207090377807,99.91946741114572
16,TNIP1,0.9439322233200074,99.91409857188876
17,LPA,0.9426298618316651,99.90872973263181
18,KCNC2,0.9381173491477967,99.90336089337485
19,NRP1,0.9379555404186248,99.8979920541179
20,MBP,0.9368456363677978,99.89262321486095
21,MOBP,0.9341959357261658,99.887254375604
22,SEMA3A,0.9336915194988251,99.88188553634704
23,TMSB4X,0.9218634963035583,99.8765166970901
24,KCNC1,0.921320503950119,99.87114785783314
25,AVPR1A,0.919886976480484,99.86577901857618
26,PHOX2A,0.9176921844482422,99.86041017931923
27,TMSB10,0.9169500708580017,99.85504134006227
28,EEF2,0.9126753747463227,99.84967250080533
29,PROP1,0.9064430743455887,99.84430366154837
30,IFNG,0.9056281208992004,99.83893482229142
31,GFAP,0.9043012648820877,99.83356598303446
32,APOE,0.9031983464956284,99.82819714377752
33,RPS11,0.8998560428619384,99.82282830452056
34,AGT,0.8992775976657867,99.81745946526361
35,CKB,0.8979765206575394,99.81209062600665
36,NKX2-6,0.8969818353652954,99.8067217867497
37,GCKR,0.8965294837951661,99.80135294749275
38,MYH14,0.8939541399478912,99.7959841082358
39,CHRNB4,0.8926547229290008,99.79061526897884
40,NRGN,0.890409916639328,99.7852464297219
41,SPTBN5,0.8898749709129333,99.77987759046493
42,SCN10A,0.8824613928794861,99.77450875120799
43,ISL1,0.8807629764080047,99.76913991195103
44,TUBA1A,0.8784967601299286,99.76377107269408
45,ABCA13,0.8778577148914337,99.75840223343712
46,CAMK1G,0.876646026968956,99.75303339418018
47,PEA15,0.8764960050582886,99.74766455492322
48,DUOX2,0.8729909360408783,99.74229571566627
49,CLU,0.8717827260494232,99.73692687640931
50,CNTRL,0.8700064718723297,99.73155803715237
51,CPZ,0.8693445026874542,99.72618919789541
52,SCN5A,0.8678279906511307,99.72082035863846
53,GLIS3,0.8623546689748764,99.71545151938152
54,FTL,0.8607554852962493,99.71008268012456
55,TOMM40,0.8588497191667557,99.70471384086761
56,SOX6,0.858442234992981,99.69934500161065
57,ZAN,0.857171094417572,99.6939761623537
58,CHRNB2,0.8569046139717102,99.68860732309675
59,PTGDS,0.855082455277443,99.6832384838398
60,PKHD1L1,0.8546368420124054,99.67786964458284
61,NRTN,0.8525586783885956,99.6725008053259
62,C1QL4,0.8525214463472366,99.66713196606894
63,EGR2,0.8513659194111824,99.66176312681199
64,APP,0.8505617350339889,99.65639428755503
65,CACNA1A,0.8504897087812424,99.65102544829809
66,DNAH8,0.8496089816093445,99.64565660904113
67,MYOF,0.8495931148529052,99.64028776978418
68,ROS1,0.8490783274173737,99.63491893052722
69,ALDH3A1,0.848433988308534,99.62955009127027
70,SCN8A,0.8481375813484192,99.62418125201332
71,SRD5A1,0.8466660806210712,99.61881241275637
72,KCNMB3,0.8458325773477554,99.61344357349941
73,USP6,0.8444221973419189,99.60807473424246
74,MYO5C,0.8417478621006012,99.6027058949855
