Gene_Name	GOA_Kidney_Research_Priority
CML1	Yes
CNBP	Yes
CNN3	Yes
CNOT1	Yes
COG5	Yes
COL18A1	Yes
COL1A2	Yes
COL3A1	Yes
COL4A1	Yes
COL4A2	Yes
COL4A3	Yes
COL4A4	Yes
COL4A5	Yes
COL4A6	Yes
COL5A1	Yes
COL5A3	Yes
COL6A2	Yes
COMMD5	Yes
COQ2	Yes
CPE	Yes
CPEB4	Yes
CPM	Yes
CR1	Yes
CRABP2	Yes
CRAT	Yes
CRHBP	Yes
CRIP1	Yes
CRKL	Yes
CRLF3	Yes
CROT	Yes
CRTAP	Yes
CRYL1	Yes
CSF2	Yes
CSK	Yes
CTDSPL	Yes
CTGF	Yes
CTH	Yes
CTNNA1	Yes
CTNNA2	Yes
CTNNA3	Yes
CTNNB1	Yes
CTNNBL1	Yes
CTNND1	Yes
CTNS	Yes
CTSA	Yes
CTSB	Yes
CTSH	Yes
CTSL	Yes
CTTN	Yes
CX3CL1	Yes
CXADR	Yes
CXCL12	Yes
CXCL6	Yes
CXCL8	Yes
CXCR4	Yes
CXXC5	Yes
CYFIP1	Yes
CYFIP2	Yes
CYP11B1	Yes
CYP17A1	Yes
CYP1B1	Yes
CYP27B1	Yes
CYP2B10	Yes
CYP2B6	Yes
CYP4F11	Yes
CYP4F12	Yes
CYP4F14	Yes
CYP4F2	Yes
CYP4F3	Yes
CYP4F45	Yes
CYSLTR1	Yes
CYSLTR2	Yes
D130062J21RIK	Yes
D3U1G0	Yes
DACH1	Yes
DAG1	Yes
DAO	Yes
DAP	Yes
DAPK1	Yes
DBI	Yes
DCAF12L1	Yes
DCLK1	Yes
DCN	Yes
DCUN1D3	Yes
DCUN1D4	Yes
DCUN1D5	Yes
DDC	Yes
DDIT3	Yes
DDN	Yes
DDO	Yes
DDX5	Yes
DECR2	Yes
DGKI	Yes
DHFR	Yes
DHRS4	Yes
DHRS7B	Yes
DIAPH1	Yes
DIAPH2	Yes
DIAPH3	Yes
DIRC2	Yes
DKFZP459A2126	Yes
DKFZP459G172	Yes
DKFZP468D0111	Yes
DKFZP469D1917	Yes
DKFZP469E1714	Yes
DKFZP469G0520	Yes
DKFZP469M0716	Yes
DKFZP469M2229	Yes
DKFZP469N204	Yes
DKFZP469O1635	Yes
DKFZP686G14213	Yes
DKFZP779G2333	Yes
DLG1	Yes
DLL1	Yes
DLX2	Yes
DMRTC1C1	Yes
DNAH9	Yes
DNAJA1	Yes
DNAJB2	Yes
DNAJC1	Yes
DNAJC10	Yes
DNAJC21	Yes
DNM1L	Yes
DNMBP	Yes
DOCK1	Yes
DOCK4	Yes
DOCK9	Yes
DOK1	Yes
DPEP1	Yes
DPP4	Yes
DPYS	Yes
DPYSL2	Yes
DPYSL3	Yes
DRB1	Yes
DSC2	Yes
DSP	Yes
DUSP8	Yes
DYNC1LI2	Yes
E1BCT1	Yes
E1BIY3	Yes
E1BTJ9	Yes
E1BXM9	Yes
E2R4F4	Yes
E2R960	Yes
E2RK12	Yes
E2RTC2	Yes
E3WCW6	Yes
EBI3	Yes
ECH1	Yes
ECI2	Yes
EDN2	Yes
EDN3	Yes
EDNRA	Yes
EDNRB	Yes
EEF1A	Yes
EEF1A1	Yes
EFNA1	Yes
EGFR	Yes
EGK_08172	Yes
EGK_17403	Yes
EGM_02483	Yes
EGM_07403	Yes
EGM_07472	Yes
EGM_10003	Yes
EGM_10525	Yes
EGM_10645	Yes
EGM_10646	Yes
EGM_12078	Yes
EGM_14782	Yes
EGM_18062	Yes
EGM_18760	Yes
EGM_21036	Yes
EGR1	Yes
EGR1-A	Yes
EGR3	Yes
EHBP1L1	Yes
EHD1	Yes
EHD2	Yes
EHD3	Yes
EHD4	Yes
EHHADH	Yes
ELAVL1	Yes
ELF2	Yes
ELF3	Yes
ELK1	Yes
EMP1	Yes
EMP3	Yes
EMX2	Yes
ENAH	Yes
ENO2	Yes
ENPEP	Yes
ENTPD1	Yes
EPHX2	Yes
EPOR	Yes
ERBB2	Yes
ERBB3	Yes
ERBB4	Yes
ERF	Yes
ESRRG	Yes
ETFA	Yes
ETFB	Yes
ETFDH	Yes
ETV5	Yes
EXOC3L2	Yes
EXPH5	Yes
EYA1	Yes
EZR	Yes
F11R	Yes
F1MKH7	Yes
F1NFH0	Yes
F1NW71	Yes
F1PDV8	Yes
F1PRX2	Yes
F1RNY5	Yes
F2	Yes
F2R	Yes
F2RL1	Yes
F2RL2	Yes
F2RL3	Yes
F3	Yes
F5	Yes
F6Y6R6	Yes
F6ZT88	Yes
F7DSF8	Yes
F8RWT7	Yes
FABP1	Yes
FABP6	Yes
FAM129A	Yes
FAM184A	Yes
FAM3D	Yes
FAM84B	Yes
FAR1	Yes
FAR2	Yes
FAT1	Yes
